id,presentation_position,condition_code,condition,condition_cn,order_raw,bcis_self_reflect,bcis_self_certainty,bcis_total,pre_bcis_self_reflect,pre_bcis_self_certainty,pre_bcis_total,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
1,1,1,control,对照,1 2 3 4 5,27,14,13,26,16,10,56,12,4,10,7,11,7,18,29
1,2,2,concept,概念,1 2 3 4 5,33,11,22,26,16,10,56,12,4,10,7,11,7,18,29
1,3,3,emotion,情感,1 2 3 4 5,29,14,15,26,16,10,56,12,4,10,7,11,7,18,29
1,4,4,behavior,行为,1 2 3 4 5,31,15,16,26,16,10,56,12,4,10,7,11,7,18,29
1,5,5,environment,环境,1 2 3 4 5,35,14,21,26,16,10,56,12,4,10,7,11,7,18,29
2,1,2,concept,概念,2 3 4 5 1,24,19,5,21,19,2,47,11,7,12,7,12,4,25,30
2,2,3,emotion,情感,2 3 4 5 1,27,20,7,21,19,2,47,11,7,12,7,12,4,25,30
2,3,4,behavior,行为,2 3 4 5 1,25,21,4,21,19,2,47,11,7,12,7,12,4,25,30
2,4,5,environment,环境,2 3 4 5 1,28,20,8,21,19,2,47,11,7,12,7,12,4,25,30
2,5,1,control,对照,2 3 4 5 1,26,21,5,21,19,2,47,11,7,12,7,12,4,25,30
3,1,1,control,对照,1 3 5 2 4,23,24,-1,25,20,5,48,9,8,8,10,11,9,20,29
3,2,3,emotion,情感,1 3 5 2 4,25,22,3,25,20,5,48,9,8,8,10,11,9,20,29
3,3,5,environment,环境,1 3 5 2 4,25,24,1,25,20,5,48,9,8,8,10,11,9,20,29
3,4,2,concept,概念,1 3 5 2 4,23,22,1,25,20,5,48,9,8,8,10,11,9,20,29
3,5,4,behavior,行为,1 3 5 2 4,24,23,1,25,20,5,48,9,8,8,10,11,9,20,29
4,1,4,behavior,行为,4 5 1 2 3,31,16,15,32,16,16,51,12,8,10,8,11,10,18,24
4,2,5,environment,环境,4 5 1 2 3,31,16,15,32,16,16,51,12,8,10,8,11,10,18,24
