id,condition_code,condition,order_position,order_string,cfi_choice,cfi_control,pretest_cfi_choice,pretest_cfi_control,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
1,1,control,1,1 2 3 4 5,45,29,41,29,56,12,4,10,7,11,7,18,29
1,2,concept,2,1 2 3 4 5,53,33,41,29,56,12,4,10,7,11,7,18,29
1,3,emotion,3,1 2 3 4 5,47,28,41,29,56,12,4,10,7,11,7,18,29
1,4,behavior,4,1 2 3 4 5,50,29,41,29,56,12,4,10,7,11,7,18,29
1,5,environment,5,1 2 3 4 5,53,29,41,29,56,12,4,10,7,11,7,18,29
2,1,control,5,2 3 4 5 1,58,29,51,25,47,11,7,12,7,12,4,25,30
2,2,concept,1,2 3 4 5 1,50,26,51,25,47,11,7,12,7,12,4,25,30
2,3,emotion,2,2 3 4 5 1,52,28,51,25,47,11,7,12,7,12,4,25,30
2,4,behavior,3,2 3 4 5 1,56,27,51,25,47,11,7,12,7,12,4,25,30
2,5,environment,4,2 3 4 5 1,57,27,51,25,47,11,7,12,7,12,4,25,30
3,1,control,1,1 3 5 2 4,54,27,54,24,48,9,8,8,10,11,9,20,29
3,2,concept,4,1 3 5 2 4,52,29,54,24,48,9,8,8,10,11,9,20,29
3,3,emotion,2,1 3 5 2 4,55,29,54,24,48,9,8,8,10,11,9,20,29
3,4,behavior,5,1 3 5 2 4,50,26,54,24,48,9,8,8,10,11,9,20,29
3,5,environment,3,1 3 5 2 4,53,29,54,24,48,9,8,8,10,11,9,20,29
4,1,control,3,4 5 1 2 3,39,28,37,27,51,12,8,10,8,11,10,18,24
4,2,concept,4,4 5 1 2 3,39,29,37,27,51,12,8,10,8,11,10,18,24
4,3,emotion,5,4 5 1 2 3,39,27,37,27,51,12,8,10,8,11,10,18,24
4,4,behavior,1,4 5 1 2 3,41,29,37,27,51,12,8,10,8,11,10,18,24
4,5,environment,2,4 5 1 2 3,40,27,37,27,51,12,8,10,8,11,10,18,24
5,1,control,4,3 4 5 1 2,50,21,46,21,48,9,9,8,9,7,9,22,23
5,2,concept,5,3 4 5 1 2,49,21,46,21,48,9,9,8,9,7,9,22,23
5,3,emotion,1,3 4 5 1 2,50,19,46,21,48,9,9,8,9,7,9,22,23
5,4,behavior,2,3 4 5 1 2,49,20,46,21,48,9,9,8,9,7,9,22,23
5,5,environment,3,3 4 5 1 2,47,20,46,21,48,9,9,8,9,7,9,22,23
6,1,control,3,5 4 1 2 3,55,29,54,31,50,9,11,10,8,10,8,27,30
6,2,concept,4,5 4 1 2 3,60,28,54,31,50,9,11,10,8,10,8,27,30
6,3,emotion,5,5 4 1 2 3,59,26,54,31,50,9,11,10,8,10,8,27,30
6,4,behavior,2,5 4 1 2 3,59,26,54,31,50,9,11,10,8,10,8,27,30
6,5,environment,1,5 4 1 2 3,55,27,54,31,50,9,11,10,8,10,8,27,30
7,1,control,3,2 4 1 3 5,46,27,49,27,33,10,8,9,9,12,4,29,31
7,2,concept,1,2 4 1 3 5,46,26,49,27,33,10,8,9,9,12,4,29,31
7,3,emotion,4,2 4 1 3 5,46,23,49,27,33,10,8,9,9,12,4,29,31
7,4,behavior,2,2 4 1 3 5,48,26,49,27,33,10,8,9,9,12,4,29,31
7,5,environment,5,2 4 1 3 5,46,24,49,27,33,10,8,9,9,12,4,29,31
8,1,control,5,3 5 2 4 1,47,27,52,24,45,11,6,9,6,8,8,18,24
8,2,concept,3,3 5 2 4 1,49,28,52,24,45,11,6,9,6,8,8,18,24
8,3,emotion,1,3 5 2 4 1,46,26,52,24,45,11,6,9,6,8,8,18,24
8,4,behavior,4,3 5 2 4 1,47,27,52,24,45,11,6,9,6,8,8,18,24
8,5,environment,2,3 5 2 4 1,48,25,52,24,45,11,6,9,6,8,8,18,24
9,1,control,2,4 1 3 5 2,58,27,57,20,58,11,8,14,9,11,12,22,28
9,2,concept,5,4 1 3 5 2,63,29,57,20,58,11,8,14,9,11,12,22,28
9,3,emotion,3,4 1 3 5 2,64,30,57,20,58,11,8,14,9,11,12,22,28
9,4,behavior,1,4 1 3 5 2,64,30,57,20,58,11,8,14,9,11,12,22,28
9,5,environment,4,4 1 3 5 2,64,30,57,20,58,11,8,14,9,11,12,22,28
10,1,control,4,5 2 4 1 3,52,33,50,31,54,11,3,11,6,11,9,19,26
10,2,concept,2,5 2 4 1 3,51,32,50,31,54,11,3,11,6,11,9,19,26
10,3,emotion,5,5 2 4 1 3,54,33,50,31,54,11,3,11,6,11,9,19,26
10,4,behavior,3,5 2 4 1 3,51,32,50,31,54,11,3,11,6,11,9,19,26
10,5,environment,1,5 2 4 1 3,50,31,50,31,54,11,3,11,6,11,9,19,26
11,1,control,1,1 4 2 5 3,58,27,56,25,45,14,2,14,4,14,2,19,24
11,2,concept,3,1 4 2 5 3,59,29,56,25,45,14,2,14,4,14,2,19,24
11,3,emotion,5,1 4 2 5 3,58,27,56,25,45,14,2,14,4,14,2,19,24
11,4,behavior,2,1 4 2 5 3,58,27,56,25,45,14,2,14,4,14,2,19,24
11,5,environment,4,1 4 2 5 3,58,27,56,25,45,14,2,14,4,14,2,19,24
12,1,control,2,3 1 4 2 5,48,27,42,27,36,11,7,9,7,9,5,20,27
12,2,concept,4,3 1 4 2 5,47,27,42,27,36,11,7,9,7,9,5,20,27
12,3,emotion,1,3 1 4 2 5,48,27,42,27,36,11,7,9,7,9,5,20,27
12,4,behavior,3,3 1 4 2 5,48,27,42,27,36,11,7,9,7,9,5,20,27
12,5,environment,5,3 1 4 2 5,48,27,42,27,36,11,7,9,7,9,5,20,27
13,1,control,5,4 2 5 3 1,49,34,45,25,42,12,7,8,5,8,5,10,25
13,2,concept,2,4 2 5 3 1,55,32,45,25,42,12,7,8,5,8,5,10,25
13,3,emotion,4,4 2 5 3 1,53,33,45,25,42,12,7,8,5,8,5,10,25
13,4,behavior,1,4 2 5 3 1,48,32,45,25,42,12,7,8,5,8,5,10,25
13,5,environment,3,4 2 5 3 1,53,28,45,25,42,12,7,8,5,8,5,10,25
14,1,control,3,5 3 1 4 2,55,30,47,24,48,12,4,10,11,13,6,21,27
14,2,concept,5,5 3 1 4 2,58,33,47,24,48,12,4,10,11,13,6,21,27
14,3,emotion,2,5 3 1 4 2,54,26,47,24,48,12,4,10,11,13,6,21,27
14,4,behavior,4,5 3 1 4 2,56,31,47,24,48,12,4,10,11,13,6,21,27
14,5,environment,1,5 3 1 4 2,53,25,47,24,48,12,4,10,11,13,6,21,27
15,1,control,1,1 5 4 3 2,60,28,62,33,54,12,4,12,4,12,4,17,14
15,2,concept,5,1 5 4 3 2,52,28,62,33,54,12,4,12,4,12,4,17,14
15,3,emotion,4,1 5 4 3 2,46,26,62,33,54,12,4,12,4,12,4,17,14
15,4,behavior,3,1 5 4 3 2,52,28,62,33,54,12,4,12,4,12,4,17,14
15,5,environment,2,1 5 4 3 2,52,27,62,33,54,12,4,12,4,12,4,17,14
16,1,control,2,2 1 5 4 3,60,24,61,19,57,10,4,8,6,12,6,20,29
16,2,concept,1,2 1 5 4 3,58,19,61,19,57,10,4,8,6,12,6,20,29
16,3,emotion,5,2 1 5 4 3,63,22,61,19,57,10,4,8,6,12,6,20,29
16,4,behavior,4,2 1 5 4 3,62,22,61,19,57,10,4,8,6,12,6,20,29
16,5,environment,3,2 1 5 4 3,59,22,61,19,57,10,4,8,6,12,6,20,29
17,1,control,3,3 2 1 5 4,41,26,41,26,46,12,6,10,6,10,8,18,24
17,2,concept,2,3 2 1 5 4,46,26,41,26,46,12,6,10,6,10,8,18,24
17,3,emotion,1,3 2 1 5 4,47,27,41,26,46,12,6,10,6,10,8,18,24
17,4,behavior,5,3 2 1 5 4,41,26,41,26,46,12,6,10,6,10,8,18,24
17,5,environment,4,3 2 1 5 4,44,27,41,26,46,12,6,10,6,10,8,18,24
18,1,control,4,4 3 2 1 5,62,24,57,21,49,10,10,9,12,13,10,23,27
18,2,concept,3,4 3 2 1 5,62,23,57,21,49,10,10,9,12,13,10,23,27
18,3,emotion,2,4 3 2 1 5,61,24,57,21,49,10,10,9,12,13,10,23,27
18,4,behavior,1,4 3 2 1 5,60,20,57,21,49,10,10,9,12,13,10,23,27
18,5,environment,5,4 3 2 1 5,63,24,57,21,49,10,10,9,12,13,10,23,27
19,1,control,5,5 4 3 2 1,30,12,40,15,33,12,13,6,12,6,11,32,32
19,2,concept,4,5 4 3 2 1,34,12,40,15,33,12,13,6,12,6,11,32,32
19,3,emotion,3,5 4 3 2 1,32,13,40,15,33,12,13,6,12,6,11,32,32
19,4,behavior,2,5 4 3 2 1,36,12,40,15,33,12,13,6,12,6,11,32,32
19,5,environment,1,5 4 3 2 1,35,13,40,15,33,12,13,6,12,6,11,32,32
20,1,control,1,1 2 5 4 3,59,25,55,30,66,10,10,13,9,13,12,23,30
20,2,concept,2,1 2 5 4 3,59,25,55,30,66,10,10,13,9,13,12,23,30
20,3,emotion,5,1 2 5 4 3,59,25,55,30,66,10,10,13,9,13,12,23,30
20,4,behavior,4,1 2 5 4 3,59,25,55,30,66,10,10,13,9,13,12,23,30
20,5,environment,3,1 2 5 4 3,59,25,55,30,66,10,10,13,9,13,12,23,30
21,1,control,4,3 4 2 1 5,45,35,38,33,45,14,10,14,6,9,6,5,28
21,2,concept,3,3 4 2 1 5,45,35,38,33,45,14,10,14,6,9,6,5,28
21,3,emotion,1,3 4 2 1 5,45,35,38,33,45,14,10,14,6,9,6,5,28
21,4,behavior,2,3 4 2 1 5,48,35,38,33,45,14,10,14,6,9,6,5,28
21,5,environment,5,3 4 2 1 5,50,35,38,33,45,14,10,14,6,9,6,5,28
22,1,control,5,4 5 3 2 1,30,21,32,19,51,12,10,9,8,8,10,20,22
22,2,concept,4,4 5 3 2 1,36,16,32,19,51,12,10,9,8,8,10,20,22
22,3,emotion,3,4 5 3 2 1,35,19,32,19,51,12,10,9,8,8,10,20,22
22,4,behavior,1,4 5 3 2 1,38,19,32,19,51,12,10,9,8,8,10,20,22
22,5,environment,2,4 5 3 2 1,33,21,32,19,51,12,10,9,8,8,10,20,22
23,1,control,2,5 1 4 3 2,40,19,40,16,44,12,8,7,12,6,10,19,26
23,2,concept,5,5 1 4 3 2,39,21,40,16,44,12,8,7,12,6,10,19,26
23,3,emotion,4,5 1 4 3 2,40,19,40,16,44,12,8,7,12,6,10,19,26
23,4,behavior,3,5 1 4 3 2,40,19,40,16,44,12,8,7,12,6,10,19,26
