id,condition,pbs,presentation_order,pre_pbs,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
1,control,35,1,21,56,12,4,10,7,11,7,18,29
1,concept,58,2,21,56,12,4,10,7,11,7,18,29
1,emotion,54,3,21,56,12,4,10,7,11,7,18,29
1,behavior,52,4,21,56,12,4,10,7,11,7,18,29
1,environment,60,5,21,56,12,4,10,7,11,7,18,29
2,control,63,5,19,47,11,7,12,7,12,4,25,30
2,concept,54,1,19,47,11,7,12,7,12,4,25,30
2,emotion,46,2,19,47,11,7,12,7,12,4,25,30
2,behavior,55,3,19,47,11,7,12,7,12,4,25,30
2,environment,58,4,19,47,11,7,12,7,12,4,25,30
3,control,58,1,59,48,9,8,8,10,11,9,20,29
3,concept,56,4,59,48,9,8,8,10,11,9,20,29
3,emotion,53,2,59,48,9,8,8,10,11,9,20,29
3,behavior,65,5,59,48,9,8,8,10,11,9,20,29
3,environment,62,3,59,48,9,8,8,10,11,9,20,29
4,control,61,3,58,51,12,8,10,8,11,10,18,24
4,concept,62,4,58,51,12,8,10,8,11,10,18,24
4,emotion,64,5,58,51,12,8,10,8,11,10,18,24
4,behavior,56,1,58,51,12,8,10,8,11,10,18,24
4,environment,61,2,58,51,12,8,10,8,11,10,18,24
5,control,46,4,49,48,9,9,8,9,7,9,22,23
5,concept,45,5,49,48,9,9,8,9,7,9,22,23
5,emotion,49,1,49,48,9,9,8,9,7,9,22,23
5,behavior,48,2,49,48,9,9,8,9,7,9,22,23
5,environment,42,3,49,48,9,9,8,9,7,9,22,23
6,control,57,3,55,50,9,11,10,8,10,8,27,30
6,concept,55,4,55,50,9,11,10,8,10,8,27,30
6,emotion,58,5,55,50,9,11,10,8,10,8,27,30
6,behavior,58,2,55,50,9,11,10,8,10,8,27,30
6,environment,58,1,55,50,9,11,10,8,10,8,27,30
7,control,48,3,29,33,10,8,9,9,12,4,29,31
7,concept,56,1,29,33,10,8,9,9,12,4,29,31
7,emotion,47,4,29,33,10,8,9,9,12,4,29,31
7,behavior,46,2,29,33,10,8,9,9,12,4,29,31
7,environment,54,5,29,33,10,8,9,9,12,4,29,31
8,control,48,5,46,45,11,6,9,6,8,8,18,24
8,concept,51,3,46,45,11,6,9,6,8,8,18,24
8,emotion,47,1,46,45,11,6,9,6,8,8,18,24
8,behavior,47,4,46,45,11,6,9,6,8,8,18,24
8,environment,48,2,46,45,11,6,9,6,8,8,18,24
