id,age,topic_id,phase,period,condition,score,order_group
1,24,1,pretest,0,pretest,43,control_first
1,24,1,intervention,1,control,44,control_first
1,24,1,intervention,2,combined,67,control_first
1,24,2,pretest,0,pretest,45,combined_first
1,24,2,intervention,1,combined,70,combined_first
1,24,2,intervention,2,control,50,combined_first
1,24,3,pretest,0,pretest,45,control_first
1,24,3,intervention,1,control,50,control_first
1,24,3,intervention,2,combined,70,control_first
2,25,1,pretest,0,pretest,39,combined_first
2,25,1,intervention,1,combined,46,combined_first
2,25,1,intervention,2,control,44,combined_first
2,25,2,pretest,0,pretest,65,control_first
2,25,2,intervention,1,control,70,control_first
2,25,2,intervention,2,combined,68,control_first
2,25,3,pretest,0,pretest,52,combined_first
2,25,3,intervention,1,combined,55,combined_first
2,25,3,intervention,2,control,52,combined_first
3,25,1,pretest,0,pretest,66,control_first
3,25,1,intervention,1,control,67,control_first
3,25,1,intervention,2,combined,67,control_first
3,25,2,pretest,0,pretest,66,combined_first
3,25,2,intervention,1,combined,67,combined_first
3,25,2,intervention,2,control,67,combined_first
3,25,3,pretest,0,pretest,66,control_first
3,25,3,intervention,1,control,67,control_first
3,25,3,intervention,2,combined,67,control_first
4,27,1,pretest,0,pretest,60,combined_first
4,27,1,intervention,1,combined,61,combined_first
4,27,1,intervention,2,control,62,combined_first
4,27,2,pretest,0,pretest,58,control_first
4,27,2,intervention,1,control,61,control_first
4,27,2,intervention,2,combined,65,control_first
4,27,3,pretest,0,pretest,56,combined_first
4,27,3,intervention,1,combined,63,combined_first
4,27,3,intervention,2,control,60,combined_first
5,33,1,pretest,0,pretest,64,control_first
5,33,1,intervention,1,control,70,control_first
5,33,1,intervention,2,combined,70,control_first
5,33,2,pretest,0,pretest,70,combined_first
5,33,2,intervention,1,combined,70,combined_first
5,33,2,intervention,2,control,70,combined_first
5,33,3,pretest,0,pretest,70,control_first
5,33,3,intervention,1,control,70,control_first
5,33,3,intervention,2,combined,70,control_first
6,25,1,pretest,0,pretest,57,combined_first
6,25,1,intervention,1,combined,64,combined_first
6,25,1,intervention,2,control,58,combined_first
6,25,2,pretest,0,pretest,60,control_first
6,25,2,intervention,1,control,68,control_first
6,25,2,intervention,2,combined,68,control_first
6,25,3,pretest,0,pretest,42,combined_first
6,25,3,intervention,1,combined,70,combined_first
6,25,3,intervention,2,control,60,combined_first
7,26,1,pretest,0,pretest,51,control_first
7,26,1,intervention,1,control,50,control_first
7,26,1,intervention,2,combined,48,control_first
7,26,2,pretest,0,pretest,59,combined_first
